Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Mutant 1	Peptides Mutant 2	Peptides WT	Razor + unique peptides Mutant 1	Razor + unique peptides Mutant 2	Razor + unique peptides WT	Unique peptides Mutant 1	Unique peptides Mutant 2	Unique peptides WT	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Q-value	Score	Identification type Mutant 1	Identification type Mutant 2	Identification type WT	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 Mutant 1	Reporter intensity corrected 1 Mutant 1	Reporter intensity corrected 2 Mutant 1	Reporter intensity corrected 3 Mutant 1	Reporter intensity corrected 4 Mutant 1	Reporter intensity corrected 5 Mutant 1	Reporter intensity corrected 6 Mutant 1	Reporter intensity corrected 7 Mutant 1	Reporter intensity corrected 8 Mutant 1	Reporter intensity corrected 9 Mutant 1	Reporter intensity corrected 0 Mutant 2	Reporter intensity corrected 1 Mutant 2	Reporter intensity corrected 2 Mutant 2	Reporter intensity corrected 3 Mutant 2	Reporter intensity corrected 4 Mutant 2	Reporter intensity corrected 5 Mutant 2	Reporter intensity corrected 6 Mutant 2	Reporter intensity corrected 7 Mutant 2	Reporter intensity corrected 8 Mutant 2	Reporter intensity corrected 9 Mutant 2	Reporter intensity corrected 0 WT	Reporter intensity corrected 1 WT	Reporter intensity corrected 2 WT	Reporter intensity corrected 3 WT	Reporter intensity corrected 4 WT	Reporter intensity corrected 5 WT	Reporter intensity corrected 6 WT	Reporter intensity corrected 7 WT	Reporter intensity corrected 8 WT	Reporter intensity corrected 9 WT	Reporter intensity 0 Mutant 1	Reporter intensity 1 Mutant 1	Reporter intensity 2 Mutant 1	Reporter intensity 3 Mutant 1	Reporter intensity 4 Mutant 1	Reporter intensity 5 Mutant 1	Reporter intensity 6 Mutant 1	Reporter intensity 7 Mutant 1	Reporter intensity 8 Mutant 1	Reporter intensity 9 Mutant 1	Reporter intensity 0 Mutant 2	Reporter intensity 1 Mutant 2	Reporter intensity 2 Mutant 2	Reporter intensity 3 Mutant 2	Reporter intensity 4 Mutant 2	Reporter intensity 5 Mutant 2	Reporter intensity 6 Mutant 2	Reporter intensity 7 Mutant 2	Reporter intensity 8 Mutant 2	Reporter intensity 9 Mutant 2	Reporter intensity 0 WT	Reporter intensity 1 WT	Reporter intensity 2 WT	Reporter intensity 3 WT	Reporter intensity 4 WT	Reporter intensity 5 WT	Reporter intensity 6 WT	Reporter intensity 7 WT	Reporter intensity 8 WT	Reporter intensity 9 WT	Reporter intensity count 0 Mutant 1	Reporter intensity count 1 Mutant 1	Reporter intensity count 2 Mutant 1	Reporter intensity count 3 Mutant 1	Reporter intensity count 4 Mutant 1	Reporter intensity count 5 Mutant 1	Reporter intensity count 6 Mutant 1	Reporter intensity count 7 Mutant 1	Reporter intensity count 8 Mutant 1	Reporter intensity count 9 Mutant 1	Reporter intensity count 0 Mutant 2	Reporter intensity count 1 Mutant 2	Reporter intensity count 2 Mutant 2	Reporter intensity count 3 Mutant 2	Reporter intensity count 4 Mutant 2	Reporter intensity count 5 Mutant 2	Reporter intensity count 6 Mutant 2	Reporter intensity count 7 Mutant 2	Reporter intensity count 8 Mutant 2	Reporter intensity count 9 Mutant 2	Reporter intensity count 0 WT	Reporter intensity count 1 WT	Reporter intensity count 2 WT	Reporter intensity count 3 WT	Reporter intensity count 4 WT	Reporter intensity count 5 WT	Reporter intensity count 6 WT	Reporter intensity count 7 WT	Reporter intensity count 8 WT	Reporter intensity count 9 WT	Sequence coverage Mutant 1 [%]	Sequence coverage Mutant 2 [%]	Sequence coverage WT [%]	Intensity	Intensity Mutant 1	Intensity Mutant 2	Intensity WT	iBAQ	iBAQ Mutant 1	iBAQ Mutant 2	iBAQ WT	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	HexNAc (ST) site IDs	Oxidation (M) site IDs	HexNAc (ST) site positions	Oxidation (M) site positions
C7LA75;P11147	C7LA75;P11147	1;1	1;1	1;1	Heat shock 70 kDa protein cognate 4	Hsc70-4-RA;Hsc70-4	tr|C7LA75|C7LA75_DROME Heat shock protein cognate 4, isoform G OS=Drosophila melanogaster OX=7227 GN=Hsc70-4 PE=1 SV=1;sp|P11147|HSP7D_DROME Heat shock 70 kDa protein cognate 4 OS=Drosophila melanogaster OX=7227 GN=Hsc70-4 PE=1 SV=3	2	1	1	1	1	0	1	1	0	1	1	0	1	3.7	3.7	3.7	71.131	651	651;651	1.5	1	1		0	42.26	By matching		By MS/MS	5980.8	6664.1	3189.2	1654.4	1980.9	3204.1	16238	1923	835.02	2084.5	5648.9	6266.8	3384	2029.3	2268.7	3130.4	15422	2041.3	1477.2	2007.3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5980.8	6664.1	3189.2	1654.4	1980.9	3204.1	16238	1923	835.02	2084.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5648.9	6266.8	3384	2029.3	2268.7	3130.4	15422	2041.3	1477.2	2007.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	3.7	0	3.7	5401000	1122100	0	4278900	168780	35064	0	133720	1				63	163	True	182	670;671	547	547				
C7LA94;O02649;Q9VMN5	C7LA94;O02649;Q9VMN5	2;2;1	2;2;1	2;2;1	60 kDa heat shock protein, mitochondrial;60 kDa heat shock protein homolog 2, mitochondrial	Hsp60;Hsp60C	tr|C7LA94|C7LA94_DROME FI05241p OS=Drosophila melanogaster OX=7227 PE=2 SV=1;sp|O02649|CH60A_DROME Heat shock protein 60A OS=Drosophila melanogaster OX=7227 GN=Hsp60A PE=1 SV=3;sp|Q9VMN5|CH60C_DROME 60 kDa heat shock protein homolog 2, mitochondrial OS=Dro	3	2	2	2	2	2	2	2	2	2	2	2	2	5.9	5.9	5.9	60.808	573	573;573;576	1.94	6	6	5	0	26.474	By MS/MS	By MS/MS	By MS/MS	104830	105400	64941	15673	63427	60111	176690	71643	43455	28437	99045	99060	67880	22129	65931	58465	170770	72273	48528	28354	23	23	23	20	23	23	23	23	23	21	20023	16602	12110	1702	18253	15233	15868	17703	5616.1	5340.2	24001	37658	21014	3095.3	21128	19513	11751	26522	30897	4445.7	60805	51145	31816	10876	24047	25365	149070	27418	6941.8	18651	18917	15599	12720	2756.5	18117	14706	15986	17822	5976.2	5408.1	22700	35377	21316	5514.7	21319	18921	12936	26466	29674	4800	57428	48085	33844	13857	26495	24838	141850	27985	12878	18146	7	7	7	5	7	7	7	7	7	6	6	6	6	5	6	6	6	6	6	6	10	10	10	10	10	10	10	10	10	9	5.9	5.9	5.9	343530000	50803000	93667000	199060000	10410000	1539500	2838400	6032200	23				64	26;365	True;True	29;30;31;397	86;87;88;89;90;91;92;93;94;95;96;97;98;99;1346;1347;1348	70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;1097	71;1097		36;37;38		35;36;51
M9NG50;M9PHG2;C7LAH9;C9QP54;P46150-5;P46150-2;P46150;P46150-3;P46150-4	M9NG50;M9PHG2;C7LAH9;C9QP54;P46150-5;P46150-2;P46150;P46150-3;P46150-4	2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2	Moesin/ezrin/radixin homolog 1	Moe;Moe-RA	tr|M9NG50|M9NG50_DROME Moesin, isoform L OS=Drosophila melanogaster OX=7227 GN=Moe PE=1 SV=1;tr|M9PHG2|M9PHG2_DROME Moesin, isoform M OS=Drosophila melanogaster OX=7227 GN=Moe PE=1 SV=1;tr|C7LAH9|C7LAH9_DROME Moesin, isoform K OS=Drosophila melanogaster OX	9	2	2	2	2	1	2	2	1	2	2	1	2	6.9	6.9	6.9	68.14	578	578;584;646;675;512;575;578;640;649	1.8	2	2	1	0	48.419	By matching	By matching	By MS/MS	11755	12602	4628.9	2881.8	3001.3	5436.3	21859	1763.5	854.1	2242.4	11096	11850	5086.3	3593.3	3388.6	5293.2	20769	1978.8	1733.6	2152.3	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11755	12602	4628.9	2881.8	3001.3	5436.3	21859	1763.5	854.1	2242.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11096	11850	5086.3	3593.3	3388.6	5293.2	20769	1978.8	1733.6	2152.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	6.9	3.3	6.9	20484000	6395400	2776400	11312000	660760	206300	89563	364900	2				65	19;154	True;True	22;172	63;64;65;627;628	48;507	48;507				
Q9W0E4;Q9GPG3;C8VUZ1;Q8IRH0;Q8IRH1;E8NH92	Q9W0E4;Q9GPG3;C8VUZ1;Q8IRH0;Q8IRH1;E8NH92	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2		Psa;Psa-RA;Psa-RC	tr|Q9W0E4|Q9W0E4_DROME Aminopeptidase OS=Drosophila melanogaster OX=7227 GN=Psa PE=1 SV=1;tr|Q9GPG3|Q9GPG3_DROME Aminopeptidase OS=Drosophila melanogaster OX=7227 GN=Psa PE=2 SV=1;tr|C8VUZ1|C8VUZ1_DROME Aminopeptidase OS=Drosophila melanogaster OX=7227 GN=	6	2	2	2	1	2	1	1	2	1	1	2	1	5.2	5.2	5.2	99.326	866	866;866;866;1053;1075;1075	2.25	1	1	2	0	31.79	By MS/MS	By MS/MS	By MS/MS	16725	20782	13927	2306.5	8855.7	5860.6	10018	4798.3	4464.9	2680.2	15816	19526	14124	3511.2	9297.4	5705.5	9989.2	4935	4641	2605.2	4	4	4	3	4	4	4	4	4	3	5607.2	4109.4	1864	0	2184.2	1435.7	1445.9	1220.4	1012.8	1126.4	6215.5	9951.5	8732.6	1858.8	4974.2	1886.8	1068.6	2153.5	2685.6	340.12	4902.3	6720.8	3330.1	447.68	1697.3	2538	7503	1424.4	766.54	1213.7	5291.8	3858.4	2094.7	232.17	2186.8	1372.5	1495.4	1266.4	1017.7	1088.9	5890.9	9354.8	8595.1	2402.9	5216	1894	1319.6	2160	2581.3	340.55	4632.9	6313.1	3434.6	876.12	1894.6	2439	7174.2	1508.5	1042.1	1175.8	1	1	1	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2.5	5.2	2.5	11034000	1437500	5449600	4146700	225180	29336	111220	84626	4				66	278;348	True;True	304;379	1070;1289;1290;1291	866;1054;1055;1056	866;1054		39;40;41		195;259;272
C8VV33;C9QP42;Q02748;D3DMH8	C8VV33;C9QP42;Q02748;D3DMH8	4;4;4;3	4;4;4;3	4;4;4;3	Eukaryotic initiation factor 4A	eIF-4a-RD;eIF-4a	tr|C8VV33|C8VV33_DROME AT04852p OS=Drosophila melanogaster OX=7227 GN=eIF-4a-RD PE=2 SV=1;tr|C9QP42|C9QP42_DROME Eukaryotic initiation factor 4a, isoform E OS=Drosophila melanogaster OX=7227 GN=eIF4A PE=1 SV=1;sp|Q02748|IF4A_DROME Eukaryotic initiation fac	4	4	4	4	4	4	4	4	4	4	4	4	4	19.2	19.2	19.2	44.292	390	390;403;403;403	2	5	5	5	0	54.317	By MS/MS	By MS/MS	By MS/MS	88002	79381	50498	5850	29751	23903	53338	11683	7627.7	9440.7	83132	74569	52734	10472	31707	23013	51890	12383	9025.2	9094.3	12	12	11	9	12	12	11	10	8	8	4976.6	3448.5	1127.8	0	1968.6	628.33	418.13	761.41	0	350.94	32290	26350	22268	2260.1	16775	13562	6961.2	4522	6396.3	854.92	50735	49582	27102	3589.9	11008	9711.8	45959	6399.2	1231.4	8234.9	4694.7	3238.1	1303	0	1925.8	604.09	475.78	769.16	0	341.65	30517	24755	22913	3880.6	17208	12974	7541.7	4882.1	6335.2	850.43	47920	46576	28518	6591.4	12573	9435.4	43872	6731.7	2690	7902.2	2	2	1	0	2	2	1	2	0	1	6	6	6	5	6	6	6	5	6	3	4	4	4	4	4	4	4	3	2	4	19.2	19.2	19.2	115970000	11757000	51681000	52537000	5522600	559860	2461000	2501800	12				67	57;124;134;290	True;True;True;True	64;140;150;317	222;223;224;494;495;496;543;544;545;1108;1109;1110;1111;1112;1113	176;404;443;905;906;907;908;909;910;911;912;913	176;404;443;911		42;43;44		199;213;382
Q961R8;Q9VUK8;C9QP25	Q961R8;Q9VUK8;C9QP25	1;1;1	1;1;1	1;1;1		Aats-gly;Aats-gly-RB	tr|Q961R8|Q961R8_DROME GH09263p OS=Drosophila melanogaster OX=7227 GN=GlyRS PE=1 SV=1;tr|Q9VUK8|Q9VUK8_DROME FI18749p1 OS=Drosophila melanogaster OX=7227 GN=GlyRS PE=1 SV=1;tr|C9QP25|C9QP25_DROME RE19272p OS=Drosophila melanogaster OX=7227 GN=Aats-gly-RB P	3	1	1	1	1	1	1	1	1	1	1	1	1	4.3	4.3	4.3	75.803	679	679;765;765	2	2	1	2	0	40.05	By MS/MS	By MS/MS	By MS/MS	20006	22833	14129	2167.6	8565.5	7593.6	28708	15858	7279.2	4644.1	18909	21451	14534	3574	9285.3	7481.6	27668	15726	8091.2	4647	5	5	5	5	5	5	5	5	5	4	2589.5	1901.7	1348.8	89.012	1201.7	1388.3	2089.7	2000.9	994.55	1272.8	4775.3	7036.9	4474.7	310.16	3963.3	2409.6	1456.9	5686.6	3401	203.1	12642	13894	8305.1	1768.4	3400.5	3795.6	25161	8170.6	2883.6	3168.2	2445.7	1786.1	1429.4	222.91	1239.7	1343.7	2054.5	2021.7	1027.8	1244.8	4517.5	6609.2	4512.1	762.75	4018.6	2363.1	1656.6	5583.2	3273.3	229.88	11946	13056	8593	2588.4	4027.1	3774.8	23957	8121.6	3790.1	3172.3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	4.3	4.3	4.3	25118000	2878600	5999600	16240000	697720	79961	166650	451110	5				68	334	True	365	1250;1251;1252;1253;1254	1024;1025;1026;1027;1028	1024		45		227
Q9VDZ8;C9QP57;Q95U00;Q9VDZ7;Q8IHE3;H5V8E8	Q9VDZ8;C9QP57;Q95U00;Q9VDZ7;Q8IHE3;H5V8E8	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Mitochondrial import inner membrane translocase subunit TIM44	CG11779-RB;CG11779;CG11779-RA	tr|Q9VDZ8|Q9VDZ8_DROME Mitochondrial import inner membrane translocase subunit TIM44 OS=Drosophila melanogaster OX=7227 GN=GH-18370 PE=1 SV=1;tr|C9QP57|C9QP57_DROME Mitochondrial import inner membrane translocase subunit TIM44 OS=Drosophila melanogaster OX	6	1	1	1	0	0	1	0	0	1	0	0	1	1.9	1.9	1.9	48.925	428	428;428;430;459;459;480	1	1			0.0080645	5.5382			By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	1				69	179	True	199	737	606	606				
CON__P00761	CON__P00761	1	1	1				1	1	1	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	24.409	231	231	2	1	1	1	0	8.587	By MS/MS	By MS/MS	By MS/MS	7346.2	6360.9	4454.8	575.11	3813.5	4793	13238	13014	11463	6396.5	6940.5	5975.9	4661.9	1011.4	4039.4	4731.1	12974	12928	11386	6324.2	3	3	3	3	3	3	3	3	3	3	2726	2014.8	2260.7	48.075	1283.3	2332.9	5711.1	5422.5	5292.1	2659.9	1955.9	2225.8	1153.7	407.51	1194.6	1359.8	2876.8	4111.6	4741.8	1854	2664.3	2120.2	1040.4	119.53	1335.6	1100.3	4650.4	3479.9	1429	1882.6	2577.8	1892.2	2299.5	206.11	1422.2	2280.1	5589.3	5399.6	5239.5	2630.1	1847.7	2092.3	1211.5	544.69	1235.5	1358.5	2898.6	4073.5	4599.7	1840.9	2515	1991.5	1150.8	260.6	1381.7	1092.5	4486.3	3455.1	1546.6	1853.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	13150000	2588100	4814400	5747300	1195400	235280	437670	522480	3			+	70	360	True	392	1335;1336;1337	1088;1089;1090	1089				
CON__P02533	CON__P02533	1	1	1				1	1	1	1	1	1	1	1	1	1	1	1	1	3.8	3.8	3.8	51.621	472	472	2	2	2	2	0	29.145	By MS/MS	By MS/MS	By MS/MS	57137	40694	33428	7208.6	33050	36347	95505	41750	65926	35031	53977	38251	35136	9913.4	34417	35265	93407	42725	66303	33952	5	5	5	5	5	5	5	5	5	5	18950	17751	15837	1573.6	13696	18608	19526	17703	36074	15370	4468.7	3648.8	4641.2	759.9	3564.6	3900.1	8694.6	2477.4	8279	1685.5	33719	19294	12949	4875.1	15790	13839	67284	21570	21573	17975	17920	16676	16111	2876.8	14123	17909	20049	18255	34892	14883	4229.2	3430.4	4660	1007	3753.1	3754.4	8592.6	2590.9	8186.5	1644.4	31829	18145	14365	6029.7	16541	13602	64765	21879	23225	17425	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3.8	3.8	3.8	26602000	6963300	4514100	15125000	917320	240110	155660	521550	5			+	71	7	True	7	20;21;22;23;24;25	18;19;20;21;22	20		46		237
CON__P02662	CON__P02662	3	3	3				1	3	3	3	3	3	3	3	3	3	3	3	3	20.6	20.6	20.6	22.975	199	199	1.89	7	7	5	0	69.906	By MS/MS	By MS/MS	By MS/MS	37598	27948	20630	10116	21612	30065	99405	35958	27293	29003	35512	26300	21907	11509	22861	29374	95491	36690	29833	28117	13	12	14	9	12	14	14	13	12	12	5237	1610.2	5087.8	0	1777.6	6974.1	8278	12277	8636.5	4825.7	4083.2	4943.5	4060.2	924.32	4302.4	2265.8	6724.8	3212.3	9290.5	2998.2	28278	21395	11482	9192	15532	20825	84403	20469	9366	21179	4954	1511.9	5103.4	0	2050.6	6754.8	8123.9	12231	8506.4	4812.3	3863.6	4647.1	4097.2	1139.4	4388.5	2228.8	6799.2	3275.9	9058.1	2888.5	26695	20141	12706	10370	16422	20390	80568	21183	12268	20416	3	2	4	0	2	4	3	3	3	3	2	2	2	1	2	2	2	2	2	1	8	8	8	8	8	8	9	8	7	8	20.6	20.6	20.6	123500000	21600000	7529900	94369000	13722000	2400000	836650	10485000	15			+	72	89;100;404	True;True;True	99;100;112;440	323;324;325;326;327;328;329;362;363;364;365;366;367;1507;1508;1509;1510;1511;1512	250;251;252;253;254;255;256;284;285;286;1224;1225;1226;1227;1228	250;284;1226		47		135
CON__P02666	CON__P02666	1	1	1				1	1	1	1	1	1	1	1	1	1	1	1	1	9.1	9.1	9.1	23.583	209	209	2	1	1	1	0	17.834	By MS/MS	By matching	By MS/MS	2208.6	1370.1	788.57	0	295.67	697.46	1536.8	1644.9	235.07	660.12	2084.6	1286.5	871.99	0	310.55	681.09	1469	1633.1	234.43	659.65	2	2	2	0	1	2	2	2	1	2	884.56	388.51	474.96	0	295.67	273.44	293.7	806.95	235.07	341.59	0	0	0	0	0	0	0	0	0	0	1324.1	981.63	313.61	0	0	424.03	1243.1	837.94	0	318.53	835.48	364.79	499.6	0	310.55	269.21	297.45	799.05	234.43	340.32	0	0	0	0	0	0	0	0	0	0	1249.1	921.72	372.39	0	0	411.88	1171.6	834.07	0	319.33	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	9.1	9.1	9.1	4974700	1689300	1050900	2234500	829110	281560	175150	372410	2			+	73	64	True	73	250;251;252	198;199	198		48		185
CON__P02754	CON__P02754	1	1	1				1	1	1	1	1	1	1	1	1	1	1	1	1	16	16	16	18.281	162	162	2	2	2	2	0	35.057	By MS/MS	By MS/MS	By MS/MS	9651.6	9722.5	7208.5	3168.6	4561.7	5657.1	16916	4331.7	3647.6	3611.3	9123.7	9147.2	7389.9	3630.1	4865.4	5549.5	16263	4505.2	4037.6	3489.9	4	4	4	3	3	4	4	4	3	3	1158.8	900.35	1125	0	0	516.83	1179.6	739.33	295.17	527.67	2236.9	2609.1	3757.7	746.13	2262.8	1139.3	1241.3	1108.3	2224.5	361.9	6255.9	6213	2325.8	2422.4	2298.9	4000.9	14495	2484.1	1128	2721.7	1096.4	845.4	1123.2	0	0	498.76	1119.8	748.88	328.76	513.98	2122.3	2454.2	3676.1	886.13	2371.1	1124.8	1339.5	1123.8	2153.2	366.42	5905	5847.6	2590.6	2744	2494.3	3926	13803	2632.5	1555.7	2609.5	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	16	16	16	26075000	5150000	7940800	12985000	2370500	468180	721890	1180400	4			+	74	357	True	389	1321;1322;1323;1324;1325;1326	1077;1078;1079;1080	1080		49		24
CON__P02768-1	CON__P02768-1	4	4	4				1	4	4	4	4	4	4	4	4	4	4	4	4	8	8	8	69.366	609	609	2	9	8	9	0	49.055	By MS/MS	By MS/MS	By MS/MS	46078	47911	36879	8127.5	34000	27152	75218	45644	37309	25292	43567	45033	37707	10302	35221	26630	73548	45829	38421	24863	23	23	23	12	23	21	23	22	23	21	7167.4	4562	5958.9	0	3290.5	2835.7	9094.9	7219.5	2429.9	3359.9	17287	26916	19735	2533.2	20241	10664	29084	22514	27465	6983.2	21623	16433	11186	5594.3	10469	13653	37039	15910	7414.3	14949	6777.7	4283.6	6048.1	0	3572.5	2777	8796.5	7173	2680.2	3322.4	16367	25288	19754	3979.9	20634	10472	29136	22335	27168	7096.6	20422	15462	11905	6322.4	11014	13381	35615	16322	8572.2	14444	5	5	5	0	5	5	5	5	5	4	10	10	10	7	10	8	10	9	10	9	8	8	8	5	8	8	8	8	8	8	8	8	8	135700000	21606000	59053000	55043000	3769500	600170	1640400	1529000	23			+	75	24;68;172;311	True;True;True;True	27;77;78;191;339	82;83;84;261;262;263;264;265;266;267;268;269;707;708;709;710;711;1173;1174;1175;1176;1177;1178;1179;1180;1181	65;66;67;68;205;206;207;208;209;210;211;578;579;580;581;582;957;958;959;960;961;962;963	68;208;580;963		50		353
CON__P04264;CON__Q922U2;CON__Q5XQN5;CON__H-INV:HIT000016045;CON__P05787;CON__Q8VED5;CON__Q8BGZ7;CON__P50446;CON__P48668;CON__P04259;CON__P02538;CON__Q6IFZ6;CON__P13647	CON__P04264	7;3;3;1;1;1;1;1;1;1;1;1;1	7;3;3;1;1;1;1;1;1;1;1;1;1	6;3;3;1;1;1;1;1;1;1;1;1;1				13	7	7	6	6	6	7	6	6	7	5	5	6	11.3	11.3	10.1	66.017	644	644;580;601;99;483;531;551;553;564;564;564;572;590	1.92	9	8	7	0	62.181	By MS/MS	By MS/MS	By MS/MS	44494	31222	19353	2824.3	22263	27562	95074	47086	69521	26270	42008	29333	21060	4074.7	23422	26817	92581	47266	69680	25790	17	17	16	9	17	18	18	18	18	15	5908.9	6883	6085.5	273.1	5293.7	8043.9	13325	7940	26128	5853	10118	11150	6335.9	1302.7	8300	8086.9	30598	12399	22385	7632.2	28467	13190	6931.7	1248.5	8669.5	11431	51151	26747	21008	12785	5592	6464.5	6122.4	404.35	5540.2	7725.7	13528	8144.8	25237	5688	9560.2	10476	6663.4	1941.1	8614.4	7871.5	29851	12500	22436	7444.3	26856	12392	8274.5	1729.3	9267.4	11220	49202	26621	22007	12658	4	4	4	1	4	5	5	5	5	4	6	6	6	4	6	6	6	6	6	4	7	7	6	4	7	7	7	7	7	7	10.2	10.2	11.3	47984000	13313000	13929000	20741000	1547900	429460	449330	669080	18			+	76	119;185;231;299;323;328;345	True;True;True;True;True;True;True	134;205;256;327;353;358;376	457;458;459;750;751;752;908;909;910;911;912;913;1146;1147;1148;1149;1150;1220;1233;1234;1235;1281;1282;1283	358;359;360;613;746;747;748;749;750;751;939;940;941;1000;1009;1010;1011;1049	359;613;750;940;1000;1009;1049				
CON__P13645;CON__P02535-1	CON__P13645;CON__P02535-1	4;2	4;2	4;2			;	2	4	4	4	4	4	4	4	4	4	4	4	4	8.1	8.1	8.1	59.51	593	593;570	2	5	7	5	0	112.86	By MS/MS	By MS/MS	By MS/MS	34317	50339	26065	4038.7	27087	26645	70769	36853	72546	25485	32442	47289	26815	7127.4	28047	25873	69988	37338	71506	24850	11	11	11	9	11	11	11	11	11	11	14911	16231	11379	1884.5	8950.2	12754	29570	13666	31874	12913	14709	31948	14042	2154.1	16155	11726	35501	14153	33601	9876.2	4697.2	2160.1	643.82	0	1982.2	2164.7	5698	9033.7	7071.7	2695.9	14096	15251	11670	2985.2	9519.8	12335	29173	14062	31352	12475	13916	30010	14241	4142.2	16541	11373	35156	14400	33234	9627.1	4429.6	2028.2	904.72	0	1986.4	2164.3	5659.3	8876.5	6919.4	2747.6	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	1	1	0	1	1	1	1	1	1	8.1	8.1	8.1	41122000	19215000	19141000	2765500	1581600	739060	736190	106360	13			+	77	8;20;193;250	True;True;True;True	8;9;23;215;276	26;27;28;29;30;31;66;67;68;793;794;795;796;797;983;984;985	23;24;25;26;27;28;49;50;647;648;649;802;803	23;49;649;802		51		271
